Account number,Account name,Symbol,Description,Quantity,Last price,Last price change,Current value,Today's gain/loss dollar,Today's gain/loss percent,Total gain/loss dollar,Total gain/loss percent,Percent of account,Cost basis total,Average cost basis,Type
Z25686771,Individual - TOD,FCASH**,HELD IN FCASH,,,,$4559.72,,,,,23.85%,,,Cash,
Z25686771,Individual - TOD,GLBE,GLOBAL-E ONLINE LTD COM NPV,19.605,$37.35,-$2.60,$732.24,-$50.98,-6.51%,-$59.86,-7.56%,3.83%,$792.10,$40.40,Cash,
Z25686771,Individual - TOD,HPE,HEWLETT PACKARD ENTERPRISE CO COM,17.702,$52.24,-$0.07,$924.75,-$1.24,-0.14%,-$33.91,-3.54%,4.84%,$958.66,$54.16,Cash,
Z25686771,Individual - TOD,FIVN,FIVE9 INC COM USD0.001,16.787,$34.56,+$0.51,$580.15,+$11.32,+1.99%,+$32.69,+5.97%,3.03%,$547.46,$32.61,Cash,
Z25686771,Individual - TOD,OSCR,OSCAR HEALTH INC CL A,14.213,$29.96,-$0.51,$425.82,-$5.04,-1.17%,-$7.79,-1.80%,2.23%,$433.61,$30.51,Cash,
Z25686771,Individual - TOD,SPCX,SPACE EXPL TECHNOLOGIES CORP CL A,9.402,$143.69,+$2.19,$1350.97,+$20.59,+1.54%,-$42.78,-3.07%,7.07%,$1393.75,$148.24,Cash,
Z25686771,Individual - TOD,ANET,ARISTA NETWORKS INC COM SHS,9.222,$195.69,+$0.31,$1804.65,+$2.85,+0.15%,-$15.26,-0.84%,9.44%,$1819.91,$197.34,Cash,
Z25686771,Individual - TOD,IOT,SAMSARA INC COM CL A,8.071,$40.85,-$0.31,$329.70,-$2.51,-0.76%,+$13.50,+4.26%,1.72%,$316.20,$39.18,Cash,
Z25686771,Individual - TOD,DVA,DAVITA INC COM,5.982,$176.01,-$4.67,$1052.89,-$27.94,-2.59%,-$252.62,-19.36%,5.51%,$1305.51,$218.24,Cash,
Z25686771,Individual - TOD,PANW,PALO ALTO NETWORKS INC COM USD0.0001,5.413,$382.13,+$10.54,$2068.46,+$57.05,+2.83%,+$77.38,+3.88%,10.82%,$1991.08,$367.83,Cash,
Z25686771,Individual - TOD,QLYS,QUALYS INC COM USD0.001,4.636,$186.14,-$0.91,$862.94,-$4.22,-0.49%,+$10.75,+1.26%,4.51%,$852.19,$183.82,Cash,
Z25686771,Individual - TOD,GE,GE AEROSPACE COM NEW,3.854,$335.71,-$6.87,$1293.82,-$26.48,-2.01%,-$129.18,-9.08%,6.77%,$1423.00,$369.23,Cash,
Z25686771,Individual - TOD,NBIX,NEUROCRINE BIOSCIENCES INC,3.512,$154.03,-$0.03,$540.95,-$0.11,-0.02%,-$60.27,-10.03%,2.83%,$601.22,$171.19,Cash,
Z25686771,Individual - TOD,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD COM USD0.00005,3.062,$226.19,-$6.56,$692.59,-$17.87,-2.52%,-$28.59,-3.97%,3.62%,$721.18,$235.53,Cash,
