Account number,Account name,Symbol,Description,Quantity,Last price,Last price change,Current value,Today's gain/loss dollar,Today's gain/loss percent,Total gain/loss dollar,Total gain/loss percent,Percent of account,Cost basis total,Average cost basis,Type
Z25686771,Individual - TOD,FCASH**,HELD IN FCASH,,,,$4559.72,,,,,23.93%,,,Cash,
Z25686771,Individual - TOD,GLBE,GLOBAL-E ONLINE LTD COM NPV,19.605,$39.95,+$0.46,$783.21,+$9.01,+1.16%,-$8.89,-1.13%,4.11%,$792.10,$40.40,Cash,
Z25686771,Individual - TOD,HPE,HEWLETT PACKARD ENTERPRISE CO COM,17.702,$52.31,-$2.10,$925.99,-$32.77,-3.42%,-$32.67,-3.41%,4.86%,$958.66,$54.16,Cash,
Z25686771,Individual - TOD,FIVN,FIVE9 INC COM USD0.001,13.787,$34.05,-$0.52,$469.44,-$7.17,-1.51%,+$21.37,+4.77%,2.46%,$448.07,$32.50,Cash,
Z25686771,Individual - TOD,OSCR,OSCAR HEALTH INC CL A,11.504,$30.47,+$0.42,$350.52,+$4.83,+1.39%,-$2.76,-0.78%,1.84%,$353.28,$30.71,Cash,
Z25686771,Individual - TOD,SPCX,SPACE EXPL TECHNOLOGIES CORP CL A,9.402,$141.50,+$0.63,$1330.38,+$5.92,+0.44%,-$63.37,-4.55%,6.98%,$1393.75,$148.24,Cash,
Z25686771,Individual - TOD,ANET,ARISTA NETWORKS INC COM SHS,9.222,$195.38,-$5.71,$1801.79,-$44.16,-2.40%,-$18.12,-1.00%,9.46%,$1819.91,$197.34,Cash,
Z25686771,Individual - TOD,IOT,SAMSARA INC COM CL A,8.071,$41.16,-$0.71,$332.20,-$5.74,-1.70%,+$16.00,+5.06%,1.74%,$316.20,$39.18,Cash,
Z25686771,Individual - TOD,PANW,PALO ALTO NETWORKS INC COM USD0.0001,7.413,$371.59,-$11.26,$2754.59,-$73.44,-2.60%,+$4.76,+0.17%,14.46%,$2749.83,$370.95,Cash,
Z25686771,Individual - TOD,DVA,DAVITA INC COM,5.982,$180.68,+$1.80,$1080.82,+$10.76,+1.00%,-$224.69,-17.22%,5.67%,$1305.51,$218.24,Cash,
Z25686771,Individual - TOD,QLYS,QUALYS INC COM USD0.001,4.636,$187.05,-$1.54,$867.16,-$3.06,-0.36%,+$14.97,+1.75%,4.55%,$852.19,$183.82,Cash,
Z25686771,Individual - TOD,FTNT,FORTINET INC COM USD0.001,3.991,$166.00,-$6.78,$662.50,-$19.77,-2.90%,+$26.51,+4.16%,3.48%,$635.99,$159.36,Cash,
Z25686771,Individual - TOD,GE,GE AEROSPACE COM NEW,3.854,$342.58,-$0.15,$1320.30,-$0.58,-0.05%,-$102.70,-7.22%,6.93%,$1423.00,$369.23,Cash,
Z25686771,Individual - TOD,CRWD,CROWDSTRIKE HLDGS INC CL A,3.837,$218.40,-$9.56,$838.00,-$30.54,-3.52%,+$2.20,+0.26%,4.40%,$835.80,$217.83,Cash,
Z25686771,Individual - TOD,NBIX,NEUROCRINE BIOSCIENCES INC,3.512,$154.06,-$1.86,$541.05,-$6.54,-1.20%,-$60.17,-10.01%,2.84%,$601.22,$171.19,Cash,
Z25686771,Individual - TOD,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD COM USD0.00005,2.707,$232.75,-$7.49,$630.05,-$15.98,-2.48%,-$10.73,-1.68%,3.31%,$640.78,$236.71,Cash,
Z25686771,Individual - TOD,OKTA,OKTA INC CL A,2.428,$166.23,-$6.68,$403.60,-$11.92,-2.87%,+$35.61,+9.67%,2.12%,$367.99,$151.56,Cash,
Z25686771,Individual - TOD,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON ADS EACH REP 5 ORD TWD10,2.249,$417.52,-$9.78,$939.00,-$12.92,-1.36%,-$116.35,-11.03%,4.93%,$1055.35,$469.25,Cash,
Z25686771,Individual - TOD,NET,CLOUDFLARE INC CL A COM,0.985,$299.84,-$8.39,$295.34,-$4.22,-1.41%,+$5.78,+1.99%,1.55%,$289.56,$293.97,Cash,
Z25686771,Individual - TOD,SNOW,SNOWFLAKE INC. COMMON STOCK,0.625,$328.00,-$1.11,$205.00,-$0.70,-0.34%,+$7.15,+3.61%,1.08%,$197.85,$316.56,Cash,
Z25686771,Individual - TOD,NVDA,NVIDIA CORPORATION COM,0.312,$217.55,-$10.43,$67.87,-$3.26,-4.58%,+$7.18,+11.83%,0.36%,$60.69,$194.52,Cash,
Z25686771,Individual - TOD,ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.056,$1696.16,-$38.85,$94.98,-$2.18,-2.24%,-$11.44,-10.75%,0.50%,$106.42,$1900.36,Cash,
Z25686771,Individual - TOD,Pending activity,,,,,-$2197.63,,,,,,

"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."

"Date downloaded Aug-30-2026 6:55 a.m ET"
